Winner,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_SUB_ATT,B_avg_SIG_STR_landed,B_avg_TD_landed,B_wins,B_losses,B_draw,B_Height_cms,B_Reach_cms,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_SUB_ATT,R_avg_SIG_STR_landed,R_avg_TD_landed,R_wins,R_losses,R_draw,R_Height_cms,R_Reach_cms,B_age,R_age
Red,0.685,1,1.5,4.5,1,0,2,0,185.42,183.3322081,0.52125,0.03125,0,23.125,0.0625,2,3,0,185.42,185.42,24,34
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,185.42,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,190.5,190.5,21,31
Blue,0.345,0.165,0.5,30,1.5,2,0,0,177.8,177.8,0.391445313,0.398027344,0.111328125,33.078125,2.110351563,7,5,0,170.18,177.8,24,28
Blue,0.445,0.36,1,17.5,4,2,0,0,185.42,185.42,0.535,0.8125,0,25.5,1.375,4,0,0,182.88,182.88,34,31
Red,0.2,0,0,1,0,0,1,0,185.42,183.3322081,0.544931641,0,0,87.5859375,0,6,5,0,172.72,172.72,31,31
Red,0.49,0,6,52,0,1,0,0,165.1,167.64,0.36,0,1,31,0,2,0,0,170.18,172.72,23,23
Blue,0.2153125,0.215625,0.25,33.484375,1.0234375,4,4,0,167.64,177.8,0.459316406,0.138173828,0.254394531,31.67382813,0.316894531,8,4,0,170.18,172.72,31,34
Blue,0.4,0,0,2,0,0,1,0,177.8,177.8,0.33,0,0,2,0,0,1,0,182.88,185.42,33,36
Blue,0.373837891,0.202324219,0.836914063,32.02734375,1.010742188,5,6,0,193.04,200.66,0.360625,0.1125,0.1875,37.875,0.375,4,1,0,185.42,195.58,33,32
Blue,0.46,0.25,0,33,0.5,0,2,0,190.5,187.96,0.325383301,0.392624512,0.081481934,16.23773193,1.41027832,9,6,0,175.26,177.8,30,35
Red,0.399852295,0.755197754,0.635131836,48.27368164,2.971679688,10,4,0,187.96,198.12,0.47875,0.0625,0.0625,49.8125,0.0625,5,0,0,193.04,195.58,35,29
Draw,0.475,0.5,0.5,46.75,0.75,0,3,0,177.8,177.8,0.34125,0.19375,0,33.9375,1,2,3,0,180.34,187.96,34,35
Red,0.3975,0,0,32.25,0,1,2,0,175.26,177.8,0.55,0.5,0,141,3,1,0,0,180.34,182.88,29,23
Blue,0.885,0,0,8.5,0,2,0,0,198.12,208.28,0.54625,0.57109375,1.109375,14.625,0.75,5,2,0,190.5,195.58,26,32
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,175.26,183.3322081,0.58,0.5,0.5,14.5,0.5,1,1,0,177.8,182.88,25,31
Blue,0.55,0,0,120,0,1,0,0,170.18,177.8,0.441328125,0.442734375,0,44.8671875,2.671875,5,3,0,170.18,172.72,23,35
Blue,0.378867188,0.257695313,0.5390625,52.96875,1.5703125,7,2,0,187.96,200.66,0.51927124,0.528486328,0.034057617,22.99719238,0.568359375,11,3,0,185.42,187.96,28,35
Blue,0.61,0,0,26,0,1,0,0,190.5,185.42,0.46125,0.140625,0.5625,37,1.75,4,1,0,185.42,190.5,24,28
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,180.34,183.3322081,0.40125,0,0.625,43.125,0,2,2,0,185.42,185.42,29.22285948,23
Red,0.49359375,0.5175,0,51.6484375,1.375,5,3,0,177.8,180.34,0.480982382,0.13528547,0.013950385,46.50549658,0.705461644,20,8,0,185.42,185.42,27,35
Red,0.471875,0.1875,0.5625,13.1875,0.3125,4,1,0,185.42,183.3322081,0.63,0,1.125,15.125,0,2,2,0,187.96,183.5219184,38,37
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,172.72,177.8,0.4725,0.0225,0,48,0.25,2,1,0,172.72,177.8,32,28
Red,0.42125,0.165,0.125,6.75,1.5,2,2,0,182.88,185.42,0.455,0.25,1,21.25,0.25,2,1,0,185.42,193.04,28,21
Red,0.596582031,0.674775391,0.046875,12.06542969,0.713867188,7,4,0,187.96,193.04,0.65,0,0,14.25,0,2,1,0,193.04,198.12,31,27
Red,0.388125,0,0.125,11.5625,0,1,4,0,190.5,195.58,0.57,0,0,46,0,0,1,0,182.88,182.88,34,24
Blue,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,182.88,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,180.34,183.5219184,31,26
Red,0.6275,0.46,0.5,37,2.375,1,3,0,160.02,160.02,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,160.02,160.02,39,27
