name,weight
Ji Yeon Kim,125
Poliana Botelho,125
Montana De La Rosa,125
Gillian Robertson,125
Priscila Cachoeira,125
Molly Mccann,125
Sijara Eubanks,125
Mayra Bueno Silva,125
Antonina Shevchenko,125
Ariane Lipski,125
Sabina Mazo,125
Luana Carolina,125
Hannah Goldy,125
Tracy Cortez,125
Mariya Agapova,125
Miranda Maverick,125
Victoria Leonardo,125
Lupita Godinez,125
Elise Reed,125
Melissa Gatto,125
Vanessa Demopoulos,125
Erin Blanchfield,125
Mandy Bohm,125
Joanna Jedrzejczyk,115
Felice Herrig,115
Karolina Kowalkiewicz,115
Tatiana Suarez,115
Ashley Yoder,115
Polyana Viana,115
Hannah Cifers,115
Miranda Granger,115
Mizuki Inoue,115
Ariane Carnelossi,115
Diana Belbita,115
Loma Lookboonmee,115
Mallory Martin,115
Jinh Yu Frey,115
Kay Hansen,115
Kanako Murata,115
Cory Mckenna,115
Sam Hughes,115
Gloria De Paula,115
Montserrat Ruiz,115
Cheyanne Buys,115
Na Liang,115
Luana Pinheiro,115
Tabatha Ricci,115
Silvana Gomez Juarez,115
Istela Nunes,115
Maria Oliveira,115
