name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Matt Horwich,Suave,30,25,1,185.42,,Orthodox,10/2/1978,46,1.11,62,0.33,9,2.7
Charles McCarthy,Chainsaw,10,5,0,177.8,180.34,Orthodox,8/6/1980,44,0.18,12,2.67,60,2.7
Jeff Bedard,Little Popeye,13,3,0,167.64,,Orthodox,2/6/1970,54,0.8,51,3.43,66,2.6
Roybert Echeverria,The Unbroken,7,1,0,165.1,170.18,Switch,8/21/1995,29,2.95,53,0,0,2.6
Julian Marquez,The Cuban Missile Crisis,9,4,0,187.96,182.88,Orthodox,5/8/1990,34,4.86,44,0,0,2.6
Allan Goes,,10,5,2,182.88,,Orthodox,4/20/1971,53,0.64,52,1.75,40,2.6
Joseph Morales,,9,2,0,167.64,175.26,Switch,8/22/1994,30,1.58,37,0.53,50,2.6
Nick Thompson,The Goat,38,14,1,185.42,187.96,Orthodox,6/23/1981,43,1.87,42,1.06,100,2.6
Dustin Pague,The Disciple,12,11,0,175.26,187.96,Orthodox,8/5/1987,37,1.65,53,1.03,44,2.6
Coty Wheeler,Ox,14,5,0,167.64,170.18,Orthodox,10/11/1978,46,1.88,22,0.87,37,2.6
Lu Kai,The Last Gladiator,8,5,0,175.26,175.26,Orthodox,3/1/1994,30,3.76,43,2.62,50,2.6
Renato Sobral,Babalu,37,11,0,185.42,190.5,Orthodox,9/7/1975,49,2.23,45,2.48,42,2.6
Daniel Roberts,Ninja,15,7,0,177.8,187.96,Southpaw,8/5/1980,44,0.73,20,2.46,44,2.5
Keigo Kunihara,,3,2,0,182.88,,Orthodox,,,0.17,10,4.97,40,2.5
Jeimeson Saudino,The Minion,8,5,0,167.64,,,,,0.66,30,2.47,50,2.5
Marloes Coenen,,23,8,0,175.26,170.18,,,,2.15,51,0.82,30,2.5
Daniel Spohn,Dragon,15,6,0,193.04,200.66,Southpaw,10/12/1984,40,2.42,49,0,0,2.5
Andre Petroski,,10,3,0,182.88,185.42,Switch,6/12/1991,33,3.61,51,4.48,54,2.5
Dave Menne,The Warrior,45,17,2,177.8,,Orthodox,7/29/1974,50,1.84,44,0.46,50,2.5
Kyle Kurtz,,7,5,0,,,,,,1.31,36,1.23,20,2.5
Renato Verissimo,Charuto,7,5,0,185.42,,Orthodox,8/3/1973,51,0.92,48,1.46,30,2.5
Ken Shamrock,The World's Most Dangerous Man,28,17,2,185.42,182.88,Orthodox,2/11/1964,60,1.47,46,0.94,60,2.5
Lumumba Sayers,,6,5,0,182.88,,,,,2.54,41,7.63,75,2.5
Dale Hartt,,6,3,0,177.8,175.26,Orthodox,4/4/1979,45,1.14,35,1.22,100,2.5
Thomas Petersen,The Train,8,1,0,185.42,187.96,Southpaw,3/30/1995,29,3.59,73,7.34,100,2.5
Tom Murphy,,8,0,0,187.96,,Southpaw,11/19/1974,49,2.5,71,7.51,85,2.5
Naoki Inoue,,11,1,0,175.26,180.34,Orthodox,6/14/1997,27,3.67,35,0,0,2.5
Phil Cardella,,8,5,0,180.34,,,,,2.47,50,0,0,2.5
Clayton Carpenter,,7,0,0,167.64,167.64,Orthodox,6/9/1996,28,4.5,51,2.47,50,2.5
Ivan Salaverry,,14,9,0,182.88,,Orthodox,1/11/1971,53,3.01,47,0.49,18,2.5
Keisuke Fujiwara,,17,12,5,167.64,,Switch,,,0.73,44,0,0,2.5
Cody McKenzie,,16,10,0,182.88,182.88,Switch,12/16/1987,36,1.74,34,2.5,25,2.5
Tamdan McCrory,The Barncat,14,5,0,193.04,193.04,Switch,11/5/1986,37,2.07,49,2.28,50,2.5
Liam McGeary,,12,2,0,198.12,,,,,1.28,48,0.51,100,2.5
Jailton Almeida,Malhadinho,20,2,0,190.5,200.66,Orthodox,6/26/1991,33,2.78,64,5.14,55,2.4
Doug Marshall,The Rhino,18,8,0,177.8,,Orthodox,9/9/1975,49,6.99,46,0,0,2.4
Mark Weir,The Wizard,21,18,1,187.96,,Southpaw,9/19/1967,57,1.54,56,0.8,50,2.4
Shane del Rosario,,11,2,0,193.04,,Southpaw,9/23/1983,41,3.93,60,1.2,40,2.4
Juan Espino,El Guapo,11,2,0,190.5,203.2,Orthodox,10/9/1980,44,2.38,70,8.93,78,2.4
Jason Lambert,The Punisher,26,13,0,190.5,190.5,Orthodox,6/3/1975,49,3.21,58,1.35,36,2.4
Noad Lahat,Neo,11,2,0,175.26,175.26,Orthodox,6/8/1984,40,2.79,46,2.37,26,2.4
Paddy Pimblett,The Baddy,20,3,0,177.8,185.42,Orthodox,1/3/1995,29,4.19,46,0.97,25,2.4
Gabriel Miranda,Fly,17,6,0,180.34,180.34,Orthodox,3/25/1990,34,3.52,51,4.8,40,2.4
Rob Kimmons,The Rosedale Reaper,25,9,0,177.8,185.42,Orthodox,1/30/1981,43,1.86,48,2.08,46,2.4
Hermes Franca,,24,17,0,167.64,180.34,Orthodox,8/26/1974,50,1.78,39,1.53,36,2.4
Cesar Arzamendia,Goku,8,3,0,180.34,,Orthodox,1/31/1991,33,5.37,45,7.32,75,2.4
Antonio Rodrigo Nogueira,Minotauro,34,10,1,190.5,195.58,Orthodox,6/2/1976,48,1.95,42,1.3,29,2.4
Chris Lytle,Lights Out,31,18,5,180.34,172.72,Orthodox,8/18/1974,50,3.76,45,0.7,55,2.4
Ramiz Brahimaj,,10,4,0,177.8,182.88,Orthodox,11/17/1992,31,2.47,41,1.9,66,2.4
Eugene Jackson,The Wolf,15,9,1,172.72,,Orthodox,9/23/1966,58,2.19,33,1.91,71,2.3
Joe Doerksen,El Dirte,51,16,0,182.88,190.5,Orthodox,10/9/1977,47,1.43,42,2.02,33,2.3
