name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Dmitri Stepanov,,0,1,0,190.5,,Orthodox,,124,0,0,0,0,0
Josh Haynes,Bring the Pain,14,11,0,175.26,,Orthodox,7/30/1977,47,1.25,22,0.94,18,0
Seichi Ikemoto,,21,19,5,180.34,,Orthodox,8/24/1975,49,2.59,32,1.23,26,0
Matt Skelton,,0,1,0,190.5,,Orthodox,1/23/1967,57,0,0,0,0,0
Lina Kvokov,,0,3,0,175.26,,Orthodox,,124,2.31,30,0,0,0
Aurelijus Kerpe,,11,22,0,,,Orthodox,,124,1.26,16,0,0,0
Todd Duffee,,9,3,0,190.5,198.12,Orthodox,12/6/1985,38,5.93,37,0.72,25,0
Lyman Good,Cyborg,21,6,0,182.88,187.96,Orthodox,5/26/1985,39,5.34,48,0.27,100,0
Jutaro Nakao,,25,19,4,175.26,,Southpaw,11/30/1970,53,0.53,38,0.38,50,0
Pietro Menga,,13,0,0,170.18,172.72,Southpaw,2/15/1988,36,0,0,0,0,0
Isis Verbeek,Fight Queen,5,2,0,162.56,162.56,Orthodox,1/12/1995,29,3.13,43,0,0,0
Shane Primm,,5,5,0,190.5,,Orthodox,7/30/1984,40,0.83,26,1.78,20,0
Charles McTorry,,3,0,0,,,,,124,0,0,0,0,0
Mike Bourke,The Rhino,10,16,1,182.88,,Orthodox,,124,0,0,0,0,0
Naho Sugiyuma,Sugi Rock,12,5,0,154.94,,,,124,2.59,48,2.05,100,0
Anthony Lapsley,The Recipe,23,7,0,175.26,,Southpaw,2/13/1980,44,0.53,34,0,0,0
Jason Freeman,,6,4,0,187.96,,,,124,0,0,0,0,0
Eddie Mendez,,8,3,1,177.8,,,,124,1.71,33,0,0,0
Joe Neal,Nine Lives,6,2,0,167.64,,,,124,1.87,19,0,0,0
Courtney Buck,,12,11,0,177.8,,Orthodox,3/19/1982,42,1.49,28,0,0,0
Bartosz Fabinski,The Butcher,15,5,0,182.88,190.5,Orthodox,4/26/1986,38,2.23,68,7.1,70,0
Steve Jennum,,2,3,0,177.8,,Orthodox,,124,0,0,0,0,0
Sim Kai Xiong,Kobra,5,1,0,165.1,167.64,Orthodox,9/6/1997,27,3.19,63,6.84,28,0
Amir Aliakbari,,10,1,0,190.5,,,,124,0,0,0,0,0
Melissa Dixon,No Mess,6,0,0,170.18,172.72,Orthodox,7/23/1991,33,3.47,54,0,0,0
Courtney Turner,,0,3,0,187.96,,,,124,0,0,0,0,0
Ray Sloan,,8,1,0,185.42,,,,124,0,0,0,0,0
Thomas Diagne,,6,6,1,185.42,,,,124,4.53,48,2,100,0
Olivier Murad,Warrior of God,6,0,0,177.8,182.88,Southpaw,12/21/1993,30,2.6,36,1,100,0
Chi Lewis-Parry,Chopper,7,0,1,205.74,,,,124,0,0,0,0,0
Jon Manley,,9,4,0,185.42,,Orthodox,7/7/1986,38,1.13,20,1,7,0
Jae Suk Lim,,17,6,0,175.26,,Orthodox,11/9/1979,44,2.43,50,12.16,100,0
Mychal Clark,,10,14,0,190.5,,Orthodox,,124,5.8,56,0,0,0
Dominic Brown,,16,23,0,180.34,,,,124,0,0,0,0,0
Emilio Cuellar,Show Kid,6,1,0,,,,,124,0,0,0,0,0
Zarah Fairn,Infinite,6,6,0,172.72,182.88,Orthodox,12/10/1983,40,4.55,31,0,0,0
Azunna Anyanwu,Zulu,14,5,0,185.42,,Orthodox,8/5/1981,43,2.47,42,0.65,100,0
Hashem Arkhagha,,6,1,0,187.96,190.5,Orthodox,9/11/1989,35,1.84,44,0,0,0
Albert Rios,,13,6,0,172.72,,,,124,0,0,0,0,0
Tatsuya Ando,,13,3,1,,,,,124,0,0,0,0,0
Won Jin Eoh,,5,5,1,170.18,,Orthodox,,124,3.74,44,0,0,0
Karl Willis,,0,5,0,,,,,124,0,0,0,0,0
Guram Kutateladze,Georgian Viking,12,4,0,180.34,182.88,Orthodox,1/8/1992,32,4.62,45,0.69,18,0
Khaos Williams,The OxFighter,14,3,0,182.88,195.58,Orthodox,3/30/1994,30,5.77,39,0,0,0
Marcin Bandel,Bomba,15,7,0,177.8,,Orthodox,10/10/1989,35,0.79,50,0,0,0
Loik Radzhabov,The Tajik Tank,17,5,1,180.34,175.26,Orthodox,9/17/1990,34,2.61,42,7.3,52,0
Drakkar Klose,,14,2,1,175.26,177.8,Orthodox,3/9/1988,36,4.33,55,1.78,30,0
Ruslan Magomedov,Leopard,14,1,0,190.5,198.12,Orthodox,11/26/1986,37,4.02,47,0.33,100,0
Blood Diamond,,3,3,0,180.34,193.04,Switch,7/10/1988,36,3.12,55,0,0,0
Viktor Pesta,,10,4,0,190.5,195.58,Orthodox,7/15/1990,34,1.58,36,3.29,28,0
Jerron Peoples,,4,3,0,182.88,,,,124,0,0,0,0,0
Lucas Gamaza,,8,4,0,,,,,124,7.57,31,0,0,0
Xie Bin,The Stalker,8,4,0,177.8,180.34,Orthodox,2/28/1998,26,2.24,39,4.81,45,0
Ron Henderson,,4,3,0,177.8,,,,124,2.53,25,1,20,0
Ryan Larson,,6,2,0,,,,,124,0,0,0,0,0
Randall Wallace,Braveheart,15,6,0,180.34,185.42,Orthodox,3/1/1989,35,1.13,38,2.13,50,0
JJ Ambrose,,28,7,0,177.8,,Orthodox,,124,3.16,69,0,0,0
Mike Davis,,2,0,0,,,,,124,0,0,0,0,0
Marcos Conrado Jr.,,5,1,0,187.96,,Orthodox,3/14/1982,42,1.6,34,1.84,14,0
Maria Oliveira,Spider-Girl,13,7,0,167.64,175.26,Orthodox,12/12/1996,27,5.03,38,0.95,44,0
Amiran Gogoladze,,14,3,0,185.42,187.96,Switch,12/9/1997,26,1.64,66,0,0,0
Victoria Leonardo,Fury,9,6,0,165.1,162.56,Orthodox,2/16/1990,34,3.27,39,1.6,27,0
Derek Downey,,11,4,0,185.42,,Orthodox,4/27/1980,44,0.32,100,2.4,16,0
Wagner da Conceicao Martins,Zuluzinho,9,8,0,200.66,,Orthodox,5/19/1978,46,1.91,37,2.2,100,0
Lolohea Mahe,,10,4,1,,,,,124,1.71,29,2.44,40,0
Sabah Homasi,,11,8,0,182.88,182.88,Orthodox,10/19/1988,36,4.98,48,2.8,50,0
Timothy Cuamba,Twilight,7,1,0,175.26,180.34,Orthodox,2/8/1999,25,2.87,34,0,0,0
Guilherme Costa,The Prodigy,7,1,0,,,,,124,0,0,0,0,0
Galore Bofando,,5,3,0,180.34,182.88,Switch,5/22/1982,42,3.63,45,2.37,100,0
Iouri Kotchkine,,7,4,1,187.96,,Orthodox,,124,0.67,38,0,0,0
Jose Medina,Chicho,11,3,0,182.88,187.96,Orthodox,5/17/1991,33,1.6,26,0,0,0
KJ Noons,King,13,9,0,177.8,177.8,Orthodox,12/7/1982,41,3.68,35,0.08,20,0
Denys Bondar,Psycho,16,5,0,167.64,175.26,Orthodox,6/27/1992,32,4.89,45,2.75,50,0
Andreas Spang,Sweet Swede,9,3,0,185.42,,,,124,0,0,0,0,0
Steve Lopez,,13,6,1,180.34,,Orthodox,7/30/1984,40,1.39,24,0,0,0
Jesse Strader,Sui Generis,5,3,0,170.18,177.8,Orthodox,5/29/1991,33,5.03,51,3.87,57,0
Kailan Hill,,4,1,0,185.42,195.58,Southpaw,12/1/1994,29,2.6,53,3,42,0
Ricky Palacios,El Gallero,10,1,0,167.64,,Orthodox,7/5/1987,37,7.73,53,0,0,0
Eli Aronov,The Israeli Tank,6,1,0,177.8,182.88,Orthodox,6/6/1996,28,8.92,68,12.16,100,0
Ivan Serati,,12,4,0,182.88,,Orthodox,,124,0.86,26,0,0,0
Tom Nolan,Big Train,6,0,0,190.5,185.42,Southpaw,3/8/2000,24,9.4,54,0,0,0
Montserrat Rendon,Monster,6,0,0,172.72,172.72,Orthodox,3/16/1989,35,4.6,37,3,60,0
Luis Pajuelo,Corazon de Leon,8,1,0,177.8,175.26,Orthodox,12/18/1994,29,9.15,61,0,0,0
Levi Avera,,18,15,0,185.42,,,,124,0,0,0,0,0
Carlton Minus,Clutch,10,3,0,177.8,190.5,Orthodox,4/26/1993,31,3.5,40,0,0,0
Chris Inman,,1,0,0,,,,,124,0,0,0,0,0
Kyle Bradley,,19,12,0,175.26,180.34,Orthodox,8/19/1982,42,1.99,40,0.65,50,0
Asjabharan,,7,6,0,167.64,,,,124,0,0,0,0,0
Paulo Santos,,0,3,0,,,,,124,0,0,0,0,0
Hakeem Dawodu,Mean,13,4,1,172.72,185.42,Orthodox,7/2/1991,33,5.45,50,0,0,0
Cain Carrizosa,The Insane,10,3,0,172.72,,Orthodox,7/22/1986,38,2.72,42,0,0,0
Dave Beneteau,Dangerous,6,5,1,187.96,,Orthodox,,124,0,0,0,0,0
Terrell Brown,,3,1,0,,,,,124,0,0,0,0,0
Jimmy Quinlan,Crash,3,1,1,182.88,,Orthodox,5/25/1986,38,2.08,70,4.46,25,0
Valmir Lazaro,Bidu,15,5,0,182.88,185.42,Orthodox,8/15/1985,39,4.87,37,1.33,40,0
Jonathan Contrestano,JT,6,0,0,,,,,124,0,0,0,0,0
Nohelin Hernandez,Suave,9,4,0,177.8,180.34,Orthodox,3/1/1994,30,1.32,34,0.71,50,0
Sirwan Kakai,Zohan,12,5,0,165.1,,Orthodox,10/3/1989,35,3.57,41,4,42,0
Tae Hyun Lee,,1,2,0,198.12,,Orthodox,1/17/1975,49,1.37,31,5.15,100,0
Ante Delija,Walking Trouble,17,3,0,193.04,,Orthodox,8/7/1990,34,0,0,0,0,0
Frank Hamaker,,1,0,0,,,,,124,0,0,0,0,0
Jeff Terry,,2,3,0,187.96,,,,124,1.09,50,0,0,0
Sam Fulton,,0,2,0,,,,,124,0,0,0,0,0
Ido Pariente,,13,6,0,172.72,,Orthodox,,124,0,0,0,0,0
Imani Lee,,2,4,0,,,Orthodox,,124,0,0,0,0,0
Herman Terrado,,15,3,1,,,,,124,0,0,0,0,0
Rico Altamirano,,4,3,0,177.8,,,,124,0,0,0,0,0
Roman Bravo-Young,,0,1,0,,,,,124,0,0,0,0,0
Nick Urso,,10,3,0,167.64,167.64,Southpaw,9/26/1985,39,3.61,45,0,0,0
Motoki Miyazawa,,7,3,0,180.34,,Southpaw,,124,1.23,28,0,0,0
Marquel Mederos,,8,1,0,177.8,175.26,Orthodox,11/30/1996,27,5.78,60,0,0,0
Cameron Rowston,Van Damme,8,2,0,,,,,124,0,0,0,0,0
Batgerel Danaa,Storm,12,5,0,170.18,177.8,Orthodox,7/4/1989,35,5.38,36,0.52,50,0
Daniel Weichel,The Weasel,39,9,0,177.8,177.8,,,124,5.71,42,0.84,50,0
Dylan Salvador,,5,2,0,175.26,175.26,Southpaw,5/20/1993,31,4.34,37,0,0,0
Juan Miranda,,7,5,0,,,,,124,0,0,0,0,0
Mehdi Baghdad,The Sultan,11,5,0,185.42,,Orthodox,4/13/1985,39,3.13,30,0,0,0
Sean Salmon,,18,21,0,177.8,,Southpaw,9/11/1977,47,1.49,33,4.06,50,0
Jeremy Hamilton,Hawk,9,2,0,,,,,124,0,0,0,0,0
Bob Sapp,The Beast,11,20,0,195.58,,Orthodox,9/22/1974,50,3.19,55,0.58,100,0
Aji Susilo,,6,4,0,177.8,,,,124,0,0,0,0,0
Michelle Maher,,1,2,0,,,,,124,0,0,0,0,0
Ramiro Hernandez,Junior,19,9,0,175.26,,Orthodox,7/22/1986,38,2.72,28,0,0,0
David Velasquez,Little,10,10,0,165.1,,Orthodox,,124,0,0,0,0,0
Raquel Pa'aluhi,Rocky,6,5,0,170.18,,,,124,1.71,56,0,0,0
Yazmin Jauregui,,10,1,0,160.02,162.56,Orthodox,2/28/1999,25,6.26,41,0,0,0
Nate Quarry,Rock,12,4,0,182.88,182.88,Open Stance,3/18/1972,52,4.96,44,0.25,33,0
Leonardo Morales,Chimy,6,2,0,172.72,,Southpaw,12/22/1992,31,2.05,47,0,0,0
Mateo Vogel,Carrapato,8,3,0,172.72,180.34,Orthodox,3/5/1996,28,4.47,46,1,16,0
Yamato Nishikawa,,21,3,6,170.18,,Orthodox,12/6/2002,21,0,0,0,0,0
Hiroko Yamanaka,Cat's Eye,13,3,0,180.34,,,,124,2.1,26,0,0,0
Manolo Zecchini,Angelo Veneziano,11,4,0,172.72,172.72,Orthodox,10/22/1996,28,2.34,21,0,0,0
Akihito Tanaka,Kinniku Mantaro,2,2,0,,,Southpaw,,124,0.19,50,5.59,66,0
Jin Bala,,23,3,0,175.26,,,,124,0,0,0,0,0
Veta Arteaga,,3,1,0,170.18,,,,124,3.2,36,0,0,0
Alexander Shlemenko,Storm,56,9,0,180.34,,,,124,4.36,60,0,0,0
Adriano Santos,,0,1,0,,,,,124,0,0,0,0,0
Brad Riddell,Quake,10,4,0,170.18,180.34,Orthodox,9/30/1991,33,4.71,53,1.77,36,0
Carlos Huachin,Perro Malo,10,5,1,162.56,170.18,Southpaw,6/4/1996,28,2.1,21,0,0,0
Larry Parker,,13,6,1,180.34,,Orthodox,,124,0,0,0,0,0
ChangHo Lee,,9,1,0,172.72,175.26,Orthodox,5/9/1994,30,4.3,69,4.3,35,0
Carlos Felipe,Boi,11,2,0,182.88,190.5,Orthodox,1/12/1995,29,4.88,45,0,0,0
Rodolfo Rubio Perez,Fito,10,16,1,165.1,,Orthodox,1/29/1987,37,1.13,36,2,33,0
Lucasz Sudolski,,8,1,0,193.04,190.5,Orthodox,6/15/1993,31,5.7,67,0,0,0
Melton Bowen,The Punisher,0,1,0,182.88,,Orthodox,7/16/1969,55,0,0,0,0,0
Edson Drago,,11,7,0,193.04,,Orthodox,8/29/1977,47,1.16,40,0,0,0
Jarjis Danho,Man Mountain,7,1,1,190.5,187.96,Orthodox,10/15/1983,41,3.38,50,0.51,16,0
Dave Herman,,22,6,0,193.04,195.58,Orthodox,10/3/1984,40,4.98,60,1.49,100,0
Bob Schrijber,Dirty,20,17,1,182.88,,Orthodox,,124,0,0,0,0,0
Dominic Waters,Sho Nuff,9,5,0,185.42,200.66,Orthodox,4/11/1989,35,0.48,23,4.07,52,0
Derrick Burnsed,,1,0,3,,,,,124,0,0,0,0,0
Josh Diekmann,The Freight Train,15,8,0,162.56,,,,124,0.28,5,0,0,0
Yasuhiro Urushitani,,21,8,6,165.1,,Southpaw,9/8/1976,48,3.47,39,0,0,0
Danny Barlow,LeftHand2God,7,0,0,187.96,200.66,Southpaw,8/2/1995,29,12.15,57,0,0,0
Bentley Syler,Bolivia,5,1,0,162.56,,Orthodox,12/22/1982,41,1.3,18,0,0,0
Mario Miranda,,14,7,0,190.5,187.96,Orthodox,7/12/1979,45,1.96,54,1.02,60,0
Valesca Machado,Tina Black,8,3,0,162.56,160.02,Orthodox,5/6/1996,28,2.4,32,0,0,0
Bibulatov Magomed,Chaborz,14,2,0,165.1,165.1,Orthodox,8/22/1988,36,3.6,51,2.85,40,0
Jason Saggo,,12,4,0,180.34,180.34,Orthodox,11/23/1985,38,2.5,39,2.33,40,0
Seth Kleinbeck,Mass Destruction,8,4,0,187.96,,,,124,2.55,33,0.98,25,0
Aiemann Zahabi,,10,2,0,172.72,172.72,Orthodox,11/19/1987,36,3.04,43,0.25,16,0
Yusuke Kasuya,,9,3,0,170.18,,Southpaw,11/16/1989,34,2.17,44,1.36,33,0
Ashe Bowman,The Archer,9,11,0,175.26,,,,124,2.43,42,0,0,0
Yoshiaki Yatsu,,0,2,0,185.42,,Orthodox,7/19/1956,68,0,0,0,0,0
Steve Vigneault,Lionheart,12,6,0,177.8,,Orthodox,2/14/1978,46,2.19,28,0,0,0
Cody Sons,,3,7,0,175.26,,,,124,0,0,0,0,0
Melchor Manibusan,Barracuda,2,4,0,165.1,,Southpaw,12/27/1976,47,1.58,54,0,0,0
Hugh Pulley,,6,3,0,182.88,,,,124,4.47,63,4,66,0
Nicolae Negumereanu,,13,2,0,182.88,198.12,Orthodox,9/4/1994,30,3.58,41,1.02,28,0
Yusaku Nakamura,,14,4,1,165.1,,,,124,1.72,45,0,0,0
Drew Brokenshire,,16,6,0,,,,,124,0,0,0,0,0
Remo Cardarelli,,7,5,0,,,,,124,2.27,47,0,0,0
Rob McCullough,Razor,19,8,0,175.26,175.26,Orthodox,5/26/1977,47,2.47,36,0.46,100,0
Juliana Lima,Ju Thai,9,5,0,165.1,165.1,Orthodox,3/15/1982,42,1.94,44,1.72,31,0
Azat Maksum,Qazaq,17,0,0,170.18,177.8,Southpaw,2/2/1995,29,3.07,24,2,18,0
Carlos Zevallos,,3,4,0,182.88,,Orthodox,,124,4.36,65,0,0,0
Tony Petarra,,2,3,1,180.34,,Orthodox,,124,0,0,0,0,0
JJ Aldrich,,13,6,0,165.1,170.18,Southpaw,9/29/1992,32,4.05,46,0.71,25,0
Cole Escovedo,Apache Kid,17,9,0,170.18,182.88,Orthodox,8/30/1981,43,1.77,43,0.43,33,0
Riki Fukuda,,24,9,0,182.88,185.42,Southpaw,1/6/1981,43,4.24,43,2.17,43,0
Willamy Freire,Chiquerim,26,6,0,172.72,,Orthodox,7/28/1987,37,1.53,37,0.5,100,0
Junye Gao,,19,12,0,,,,,124,0,0,0,0,0
David Bielkheden,,24,12,0,177.8,180.34,Orthodox,6/6/1979,45,1.11,57,2.65,63,0
WonBin Ki,The Danger,17,9,0,180.34,185.42,Orthodox,2/11/1991,33,5.47,47,0,0,0
Kaitlin Young,,7,9,1,175.26,,Orthodox,9/15/1985,39,2.83,26,2.5,100,0
Casey Huffman,Hellbent,3,1,0,190.5,,,,124,0,0,0,0,0
Bo Cantrell,Redrum,10,10,0,187.96,,Orthodox,2/8/1969,55,3.16,16,0,0,0
Rico Farrington,The Triggerman,7,3,0,193.04,200.66,Southpaw,6/19/1989,35,6.33,41,0,0,0
Paul Jones,,11,1,1,175.26,,Orthodox,6/16/1963,61,0,0,0,0,0
Gabe Lemley,,13,9,0,172.72,,Orthodox,,124,0.82,35,0,0,0
Yuri Vaulin,,0,1,0,193.04,,Southpaw,,124,0,0,0,0,0
Shane Howell,,13,10,0,172.72,,Orthodox,11/28/1983,40,1.27,32,0,0,0
AJ Fonseca,,5,4,0,162.56,,,,124,0,0,0,0,0
Donavon Frelow,,6,3,0,170.18,,Orthodox,1/20/1985,39,2.4,27,1,100,0
Jason Tan,,5,3,0,177.8,,Orthodox,12/17/1981,42,0.69,29,0,0,0
Joe Son,,0,4,0,162.56,,Orthodox,11/22/1970,53,0,0,0,0,0
Zach Rosol,,3,2,0,,,,,124,0,0,0,0,0
Chris Liguori,,15,10,0,175.26,,Orthodox,,124,0.29,33,0,0,0
Zelim Imadaev,,8,3,0,182.88,193.04,Orthodox,1/25/1995,29,2.91,36,0.38,50,0
Garrett Gross,,11,7,0,175.26,,Orthodox,8/8/1988,36,2.39,45,0,0,0
Andreas Stahl,Real Steel,10,4,0,180.34,,Orthodox,5/20/1988,36,2.83,37,1.55,66,0
Jeremia Siregar,The Teacher,6,3,0,157.48,160.02,Orthodox,7/27/1991,33,2.8,42,0,0,0
Joe Slick,,16,5,3,182.88,,Orthodox,10/17/1977,47,0,0,0,0,0
Chris Barnhizer,,2,3,0,,,,,124,0,0,0,0,0
Ross Pointon,The Gladiator,6,17,0,172.72,,Orthodox,2/18/1980,44,2.62,23,1.19,100,0
Jonas Bilharinho,,9,1,1,180.34,190.5,Switch,5/22/1990,34,3.71,60,0,0,0
Andy Enz,Tank Mode,10,4,0,190.5,198.12,Orthodox,8/15/1991,33,3.51,23,0,0,0
Michael Knaap,Hammer,18,22,3,187.96,,Orthodox,2/27/1984,40,0,0,0,0,0
Theo Rlayang,Jungle King,5,1,0,170.18,165.1,Orthodox,8/10/1994,30,5.93,48,2,40,0
Carl Malenko,,6,4,0,180.34,,Orthodox,,124,0,0,0,0,0
Chelsea Chandler,,5,2,0,172.72,172.72,Southpaw,11/23/1990,33,3.12,45,0.78,33,0
Alexander Crispim,,8,6,0,,,,,124,0,0,0,0,0
Chris Coggins,,7,10,0,,,,,124,0,0,0,0,0
Michel Quinones,El Capo,8,3,0,177.8,185.42,Orthodox,12/22/1984,39,2.91,29,0,0,0
Michal Martinek,,7,1,0,187.96,,Southpaw,4/19/1990,34,2.45,53,0,0,0
Dion Staring,Soldier,35,14,0,185.42,,Orthodox,6/9/1978,46,1.09,37,0,0,0
Chris Herrera,The Crusher,3,2,1,177.8,,,,124,2.04,37,1.8,100,0
Kai Kara-France,Don't Blink,24,11,0,162.56,175.26,Orthodox,3/26/1993,31,4.57,39,0.63,33,0
Deshaun Johnson,,6,9,0,,,,,124,2.27,41,0,0,0
Khomkrit Niimi,The Bumblebee,6,10,0,157.48,,,,124,0,0,0,0,0
Booker DeRousse,,6,5,0,187.96,,,,124,0,0,0,0,0
Nick Agallar,,24,6,0,172.72,,Orthodox,1/13/1979,45,0.69,11,0,0,0
Tim Lajcik,The Bohemian,7,6,1,185.42,,Orthodox,6/21/1965,59,0,0,0,0,0
Osamu Tachihikari,,0,4,0,195.58,,Orthodox,,124,0,0,0,0,0
Kyle Bolt,,8,4,0,187.96,,,,124,7.27,52,0,0,0
Jess Bouscal,,3,2,0,,,,,124,0,0,0,0,0
Charalampos Grigoriou,Ferocious,8,3,0,170.18,170.18,Orthodox,3/31/1992,32,13,65,0,0,0
Joey Armstrong,,5,2,0,,,,,124,0,0,0,0,0
Ozzy Diaz,,7,2,0,193.04,200.66,Orthodox,11/22/1990,33,1.65,32,0,0,0
Jordan Dowdy,,4,3,0,,,,,124,2.11,44,0,0,0
Rafael Rios,,4,2,0,,,,,124,0,0,0,0,0
Jeremiah Riggs,,7,8,0,182.88,,,,124,0,0,0,0,0
Ibragim Magomedov,,22,8,1,182.88,,Orthodox,,124,0.26,4,0,0,0
Ben Wall,Manimal,8,7,1,177.8,,Orthodox,3/25/1989,35,1.47,29,0,0,0
Te Edwards,,6,3,0,172.72,182.88,Orthodox,9/11/1990,34,1.5,41,0.72,100,0
Dos Caras Jr.,,9,5,0,193.04,,Orthodox,5/25/1977,47,0.77,23,0,0,0
Kaiwen,The Underdog,12,5,0,175.26,182.88,Switch,10/16/1995,29,4.57,54,0,0,0
Donovan Beard,The Highlight Reel,7,2,0,187.96,198.12,Orthodox,11/5/1989,34,0,0,0,0,0
Thaddeus Luster,,0,1,0,190.5,,,,124,0,0,0,0,0
Jay Cucciniello,,8,1,0,170.18,,Orthodox,7/23/1986,38,0.93,21,0,0,0
Simon Biyong,,7,1,0,,,,,124,0,0,0,0,0
Alexander Munoz,,7,2,0,175.26,182.88,Switch,2/27/1990,34,3.7,42,3,40,0
Nicdali Rivera-Calanoc,The Night Queen,9,10,0,160.02,,,,124,1.82,20,0,0,0
Stephanie Frausto,Lil Bovy,8,7,0,157.48,154.94,Orthodox,9/20/1990,34,1.43,21,0,0,0
Rocky Long,,21,37,1,,,,,124,0,0,0,0,0
Chris Avila,,5,4,0,177.8,,Orthodox,1/16/1993,31,2.37,30,0,0,0
Keenan Raymond,,3,3,0,,,,,124,0,0,0,0,0
Fabricio Guerreiro,,21,5,0,177.8,,,,124,1.87,31,2,50,0
Viktoriia Dudakova,,8,0,0,165.1,170.18,Orthodox,1/26/1999,25,3.14,52,2.45,41,0
Hiroyuki Abe,Abe Ani,8,15,3,167.64,,Orthodox,,124,1.71,36,0,0,0
Alexandre Barros,Baixinho,22,11,0,175.26,,Southpaw,11/19/1976,47,0.98,40,1.84,50,0
Billy Miles,The Kid,2,2,0,177.8,,Orthodox,4/28/1978,46,0,0,0,0,0
Frank Megallon,,2,3,0,177.8,,Southpaw,,124,1.14,21,0,0,0
Shimon Smotritsky,The Assassin,8,2,0,187.96,187.96,Orthodox,8/22/2000,24,3.52,34,3.52,33,0
Lukasz Sajewski,Wookie,13,3,0,172.72,180.34,Orthodox,11/27/1990,33,2.06,35,1.01,25,0
Pat Audinwood,Awesomely Awesome,11,2,1,182.88,,Orthodox,4/16/1986,38,1.17,12,0.8,50,0
Bobby Sanchez,The Kid,10,35,0,170.18,,Orthodox,,124,0,0,0,0,0
Luis Gomez,Tiger Junior,4,1,0,170.18,172.72,Orthodox,1/28/1995,124,1.57,33,4.48,50,0
Sean Wilson,P-Town,36,29,0,172.72,,,,124,1.01,31,0,0,0
Roman Kopylov,,12,2,0,182.88,190.5,Southpaw,5/4/1991,33,4.72,53,0.47,50,0
Marcin Wrzosek,The Polish Zombie,12,4,0,175.26,,,,124,3.47,43,3,25,0
Marlon Sims,,3,4,0,,,,,124,0,0,0,0,0
Kathryn Paprocki,,3,2,0,160.02,160.02,Orthodox,4/28/1993,31,1,23,0,0,0
Michael Page,Venom,12,0,0,187.96,,,,124,4.53,76,3.4,100,0
Ramon Taveras,The Savage,9,2,0,172.72,177.8,Southpaw,1/9/1994,30,7.2,58,0,0,0
Carlo Pedersoli Jr.,Semento,11,3,0,180.34,190.5,Southpaw,6/8/1993,31,4.17,37,2.91,44,0
Matt Dixon,Magic,9,1,0,177.8,190.5,Switch,10/9/1995,29,1.97,43,3.06,30,0
Nursulton Ruziboev,Black,35,8,2,195.58,193.04,Orthodox,11/19/1993,30,4.68,66,11.69,100,0
Talita Nogueira,Treta,6,0,0,177.8,,,,124,0,0,0,0,0
Ketlen Souza,Esquentadinha,13,4,0,160.02,160.02,Orthodox,8/18/1994,30,0,0,0,0,0
Isao Kobayashi,,21,4,4,172.72,,,,124,1.01,33,2.17,100,0
Dakota Bush,,8,4,0,177.8,185.42,Orthodox,6/9/1994,30,2.77,38,2.4,33,0
Steven Graham,,2,1,0,185.42,,Orthodox,,124,0,0,0,0,0
Mizuki,,15,6,0,160.02,165.1,Orthodox,8/19/1994,30,4.56,50,0.33,14,0
Justin McCully,The Insane One,11,5,2,185.42,185.42,Orthodox,2/18/1976,48,1.58,37,1.28,44,0
Jose Alday,Pochito,14,6,1,170.18,172.72,Orthodox,9/14/1991,33,3.13,44,0,0,0
Gerard Gordeau,,2,2,0,195.58,,Orthodox,3/30/1959,65,0,0,0,0,0
Josh Shockman,The War Hammer,6,3,0,193.04,,Southpaw,12/29/1980,43,0.87,32,0,0,0
Rhys McKee,Skeletor,10,5,1,187.96,198.12,Orthodox,9/10/1995,29,6.06,48,0,0,0
Carter Williams,The Beast,4,5,0,185.42,,Orthodox,,124,1.55,36,2.9,33,0
Javy Ayala,Eye Candy,10,5,0,185.42,,,,124,0.83,25,0,0,0
Augusto Sakai,,16,5,1,190.5,195.58,Orthodox,5/9/1991,33,4.6,49,0.23,40,0
Jeff Cox,The Grinder,10,7,0,177.8,,Orthodox,8/2/1968,56,0.56,25,4.23,50,0
Jason Suttie,Nobunaga,0,1,0,182.88,,Orthodox,8/7/1973,51,2.07,83,0,0,0
Collin Anglin,,8,3,0,175.26,180.34,Orthodox,2/20/1993,31,4.59,48,2.28,66,0
Denis Sobolev,,4,7,0,190.5,,Orthodox,,124,0,0,0,0,0
Jin Oh Kim,,0,4,0,175.26,,Orthodox,,124,5.06,25,0,0,0
Adli Edwards,,4,1,0,,,,,124,0,0,0,0,0
Joshua Wang-Kim,Twin Dragon,5,2,0,175.26,180.34,Switch,11/16/1992,31,2.95,40,1.17,100,0
Elisha Helsper,Knuckles,0,4,0,167.64,,Orthodox,2/6/1983,41,0,0,0,0,0
Ryan Parker,,0,1,0,190.5,,Southpaw,,124,0,0,0,0,0
Billy Goff,,9,2,0,177.8,182.88,Switch,6/18/1998,26,10.22,46,4.04,40,0
Lu Zhengyong,,12,7,0,,,,,124,0,0,0,0,0
Jean Silva,White Bear,19,12,3,167.64,,Orthodox,10/8/1977,47,0.73,22,0,0,0
Wes Shivers,,7,1,0,203.2,,,,124,0,0,0,0,0
Brandon Lewis,,6,2,0,162.56,177.8,Orthodox,8/2/1997,27,2.17,29,1,15,0
